Inep,Logradouro,Numero,Bairro,Cep
43109209,R DR MARINO ABRAHAO                               ,240,PASSO DAS PEDRAS    ,91230260
43109144,R MANOEL FARIA DA ROSA PRIMO                      ,940,RESTINGA            ,91790770
43178995,R SAO JOSEMARIA ESCRIVA                           ,0,JARDIM DO SALSO     ,91410000
43109128,RUA SAIBREIRA                                     ,1,CORONEL APARÍCIO BOR,91510350
43109225,R DEZENOVE DE FEVEREIRO                           ,330,MARIO QUINTANA      ,91270450
43179010,R CLAUDIO MANOEL DA COSTA                         ,270,JARDIM SABARÁ       ,91210250
43172474,AV MAJOR MANOEL JOSE MONTEIRO                     ,1,RUBEM BERTA         ,91170570
43172490,RUA FRANCISCO MATTOS TERRES                       ,40,HÍPICA              ,91755070
43179029,AV ECON NILO WULFF                                ,955,RESTINGA            ,91790000
43167535,AV DEPUTADO ADÃO PRETTO                           ,1190,LOMBA DO PINHEIRO   ,91570730
43167179,R GERVAZIO BRAGA PINHEIRO                         ,427,LOMBA DO PINHEIRO   ,91570490
43173721,R IRMA INES FAVERO                                ,1,MARIO QUINTANA      ,91250095
43173713,BC IMPERIO                                        ,75,VILA NOVA           ,91787415
43177018,AVENIDA SEVERO DULLIUS                            ,165,ANCHIETA            ,90200310
43175120,RUA CARLOS SUPERTI                                ,84,VILA NOVA           ,91750020
43177034,RUA SANTA TERESA VILA SÃO JOSÉ COMUNITÁRIA        ,541,VILA SÃO JOSÉ       ,91520713
43177042,R MONSENHOR RUBEN NEIS                            ,430,CAVALHADA           ,91920243
43177050,R WASHINGTON LUIZ                                 ,203,CENTRO HISTÓRICO    ,90010160
43177581,R GENTIL AMANCIO CLEMENTE                         ,1,MORRO SANTANA       ,91270315
43183018,R C VILA CASTELO                                  ,1,RESTINGA            ,91790200
43187560,AV JUCA BATISTA                                   ,0,CHAPÉU DO SOL       ,91786300
43189253,RUA SEIS                                          ,0,MARIO QUINTANA      ,91250000
43204643,R BISPO MARINO PRUDENCIO MOREIRA                  ,95,RESTINGA            ,91790206
43241000,R CAPITAO PEDRO WERLANG                           ,1011,PARTENON            ,91530110
43293050,BC UM RUA LUIZ OTAVIO                             ,347,BELÉM VELHO         ,91787331
43293069,R GERALDO TOLLENS LINCK                           ,0,HÍPICA              ,91787214
43048200,RUA AMELIA SANTINI FORTUNATI                      ,101,SANTA ROSA DE LIMA  ,91160810
43105246,AV NITEROI                                        ,472,MEDIANEIRA          ,90880270
43105505,R XAVIER DE CARVALHO                              ,274,SARANDI             ,91110440
43105246,AV NITEROI                                        ,472,MEDIANEIRA          ,90880270
43177000,R SANTA TEREZINHA                                 ,572,SANTANA             ,90040180
43190499,R VINTE CINCO DE OUTUBRO                          ,295,SARANDI             ,91140500
43190456,R FREDERICO MENTZ                                 ,118,FARRAPOS            ,90250370
43185304,R ULYSSES DE ALENCASTRO BRANDAO                   ,205,SARANDI             ,91140400
43185495,AV DONARIO BRAGA                                  ,159,RUBEM BERTA         ,91160360
43189075,AV VINTE UM DE ABRIL                              ,1470,SARANDI             ,91120630
43189059,R SENHOR DO BOM FIM                               ,956,SARANDI             ,91140380
43185398,RUA K                                             ,120,RUBEM BERTA         ,91160170
43189024,R VINTE QUATRO DE AGOSTO VL MINUANO               ,375,SARANDI             ,91110560
43188141,R JOSUE DE CASTRO                                 ,290,SARANDI             ,91120110
43190588,AV CALDEIA                                        ,210,SARANDI             ,91130540
43190367,BC C VILA NAZARETH                                ,16,SARANDI             ,91060460
43190685,RUA DOIS MIL E SETENTA                            ,300,NAVEGANTES          ,90240300
43185410,R IRMA MARIA JOSE TREVISAN                        ,30,FARRAPOS            ,90250430
43190464,RUA ALÉCIO FACHINI                                ,55,RUBEM BERTA         ,91160000
43190065,R JACY BARCELLOS DE OLIVEIRA                      ,103,RUBEM BERTA         ,91160430
43187820,R JOSEFA BARRETO                                  ,302,PASSO DAS PEDRAS    ,91230080
43185525,R WOLFRAM METZLER                                 ,21,RUBEM BERTA         ,91250320
43188559,R JULIO STREGUE                                   ,55,SARANDI             ,91180030
43185266,RUA CRUZEIRO DO SUL                               ,2702,SANTA TEREZA        ,90840000
43185541,R WOLFRAM METZLER                                 ,605,RUBEM BERTA         ,91250320
43185363,R DONA BECA                                       ,120,RUBEM BERTA         ,91150000
43188184,R SANTA RITA DE CASSIA ILHA MARINHEIROS           ,90,ARQUIPÉLAGO         ,90090000
43190618,R JOSE LUIZ MARTINS COSTA                         ,200,MARIO QUINTANA      ,91250330
43185169,R WOLFRAM METZLER                                 ,334,RUBEM BERTA         ,91250320
43188168,R NOSSA SENHORA APARECIDA I MARINHEIROS           ,3144,ARQUIPELAGO         ,90090400
43185568,R JOAO BRAVO DE ALMEIDA                           ,101,SARANDI             ,91180035
43185320,R WOLFRAM METZLER                                 ,567,RUBEM BERTA         ,91250320
43187862,R PEDRO RAUPP                                     ,160,JARDIM ITU          ,91225080
43184960,R THOMAZ FRANCISCO DE JESUS                       ,412,JARDIM CARVALHO     ,91430750
43185371,R DEZESSEIS VILA MATO SAMPAIO                     ,623,BOM JESUS           ,91420620
43190316,R CINCO VILA VALNERI ANTUNES                      ,10,MARIO QUINTANA      ,91260350
43190650,AV VITORIA                                        ,35,PASSO DAS PEDRAS    ,91225040
43190383,AV DEZ DE MAIO                                    ,265,PASSO DAS PEDRAS    ,91230480
43187471,R PANAMA                                          ,324,BOM JESUS           ,91420200
43185274,R J VILA FATIMA-PINTO                             ,220,BOM JESUS           ,91420120
