Inep,Logradouro,Numero,Bairro,Cep
43105416,R MARIO DE ARTAGAO                                ,13,PARTENON            ,90680090
43189768,R DONA PAULINA                                    ,700,TRISTEZA            ,91920030
43382118,AV BURGUESES                                      ,255,PARTENON            ,91530020
43385087,R C ESTR JOAO DE OLIVEIRA REMIAO                  ,4444,LOMBA PINHEIRO      ,91560080
43383050,R JOSE MADRID                                     ,980,JARDIM CARVALHO     ,91430580
43212123,ESTR ARACAJU                                      ,650,NONOAI              ,91740320
43384099,R ARIOVALDO PINHEIRO                              ,24,PASSO DA AREIA      ,91350120
43385079,AV LUIZ FRANCISCO ZANELLA                         ,504,RESTINGA            ,91790800
43382088,RUA CARLOS NIDERAUER HOFMAISTER                   ,962,RESTINGA            ,91790020
43385095,AV MOAB CALDAS                                    ,485,                    ,90880310
43384102,AV SOUZA MELO                                     ,489,SARANDI             ,91120600
43382100,R IRMA MARIA JOSE TREVISAN                        ,10,FARRAPOS            ,90250430
43382096,R DR MANOEL JOSE LOPES FERNANDES                  ,650,VL JOAO PESSOA      ,91510420
43384080,AV SERTORIO                                       ,253,NAVEGANTES          ,91020001
43000070,ESTR CHACARA DO BANCO                             ,71,RESTINGA            ,91790750
43000118,RUA D                                             ,14,JARDIM CARVALHO     ,91440160
43000169,RUA D                                             ,14,JARDIM CARVALHO     ,91440160
43000088,RUA WOLFRON MEDZLER                               ,650,RUBEM BERTA         ,91250320
43000096,RUA JOSÉ PERES GARCIA                             ,17,VILA FARRAPOS       ,90250470
43000100,ESTRADA ANTONIO SEVERINO                          ,1493,MARIO QUINTANA      ,91250330
43000126,R NICOLAU COELHO                                  ,58,VILA IPIRANGA       ,91380170
43000177,R ANDRADAS                                        ,680,CENTRO HISTORIC     ,90020000
43000185,R JOSE MADRID                                     ,980,JARDIM CARVALHO     ,91430580
43001190,RUA 7121                                          ,0,RESTINGA            ,91791508
43104924,AV DR NILO PECANHA                                ,1521,PETROPOLIS          ,90470001
43104940,AV CRISTOVAO COLOMBO                              ,1098,FLORESTA            ,90560001
43104959,AV BENTO GONCALVES                                ,4314,PARTENON            ,90650001
43104967,AV PRESIDENTE ROOSEVELT                           ,770,SAO GERALDO         ,90230001
43104975,RUA CARLOS HUBER                                  ,425,TRES FIGUEIRAS      ,91330150
43104983,AV PROTASIO ALVES                                 ,943,SANTA CECILIA       ,90410000
43104991,AV PADRE CACIQUE                                  ,1028,PRAIA DE BELAS      ,90810240
43105017,RUA RAMIRO BARCELOS                               ,996,MOINHOS DE VENTO    ,90035001
43105025,AV PROF OSCAR PEREIRA                             ,3052,GLORIA              ,91710000
43105033,RUA RIACHUELO                                     ,800,CENTRO              ,90010272
43105041,AV SERTORIO                                       ,253,NAVEGANTES          ,91020001
43105050,RUA PAULINO CHAVES                                ,262,SANTO ANTONIO       ,90640200
43105068,AV PROTASIO ALVES                                 ,2493,PETROPOLIS          ,90410002
43105076,AV CAVALHADA                                      ,2250,CAVALHADA           ,91740000
43105084,RUA LUIZ DE CAMOES                                ,372,SANTO ANTONIO       ,90620150
43105092,AV PADRE LEOPOLDO BRENTANO                        ,700,HUMAITA             ,90250590
43105106,RUA HONORIO SILVEIRA DIAS                         ,645,SAO JOAO            ,90550150
43105114,RUA DOM DIOGO SOUZA                               ,100,CRISTO REDENTOR     ,91360000
43105130,RUA ALVARO CHAVES                                 ,625,FLORESTA            ,90220040
43105149,RUA DUQUE DE CAXIAS                               ,1475,CENTRO              ,90010283
43105157,RUA JOAO OBINO                                    ,110,PETROPOLIS          ,90470150
43105165,RUA FELIX DA CUNHA                                ,515,FLORESTA            ,90470001
43105173,RUA ENEAS FLORES                                  ,55,RUBEM BERTA         ,91250570
43105181,AV IPIRANGA                                       ,1090,AZENHA              ,90160091
43105190,RUA NOVA PRATA                                    ,180,IAPI                ,90520150
43105203,AV FRANCA                                         ,400,NAVEGANTES          ,90230220
43105211,RUA GONCALVES DIAS                                ,1022,MENINO DEUS         ,90130060
43105220,AV PIRATINI                                       ,76,SANTANA             ,90040160
43105238,AV OTTO NIEMEYER                                  ,650,TRISTEZA            ,91910001
43105262,RUA ARTIGAS                                       ,340,PETROPOLIS          ,90670120
43105270,VIELA SAO BRAS                                    ,17,PASSO DAREIA        ,90520480
43105289,RUA MAL JOSE INACIO DA SILVA                      ,305,IAPI                ,90520280
43105300,RUA DR CARLOS FLORES                              ,53,BELEM NOVO          ,91780080
43105319,RUA PEDRO IVO                                     ,88,MONTSERRAT          ,90450210
43105327,RUA FILADELFIA                                    ,314,HIGIENOPOLIS        ,90550060
43105335,RUA GEN GOMES CARNEIRO                            ,364,MEDIANEIRA          ,90870310
43105343,RUA ALARICO VALENCA                               ,160,PARTENON            ,91520010
43105351,RUA BORTOLO BARBIERI                              ,90,JARDIM SAO PEDRO    ,91040160
43105360,RUA SANTA TEREZINHA                               ,572,SANTANA             ,90040160
43105386,AV ANTONIO DE CARVALHO                            ,495,JARDIM CARVALHO     ,91430001
43105394,RUA MANOEL DO CARMO                               ,100,NONOAI              ,90830340
43105408,RUA CAMAQUA                                       ,534,CAMAQUA             ,91910630
43105416,RUA MARIO ARTAGAO                                 ,13,PARTENON            ,90680090
43105432,RUA VERISSIMO ROSA                                ,175,PARTENON            ,90610280
43105564,RUA NOSSA SRA DE FATIMA                           ,201,RUBEM BERTA         ,91180003
43105572,AV PRESIDENTE ROOSEVELT                           ,149,NAVEGANTES          ,90230000
43105580,RUA ADAO BAINO                                    ,206,CRISTO REDENTOR     ,91350240
43105602,ESTRADA DOS BATTILANAS                            ,140,CASCATA             ,91712310
43105610,NOEL ROSA                                         ,223,JARDIM ITU SABARA   ,91210110
43105629,RUA PASSOS FIGUEROA                               ,841,SARANDI             ,91110500
43105637,TRAV PROF.EMETERIO G.FERNANDEZ                    ,345,JARDIM ITATI        ,91370380
43105670,AV MATHILDE T RENNER                              ,55,JARDIM ITATI        ,91370000
43105688,AV JOSE LOUREIRO DA SILVA                         ,945,CENTRO              ,90010420
43105696,RUA DUQUE DE CAXIAS                               ,385,CENTRO              ,90010282
43105718,RUA ANDRADAS                                      ,861,CENTRO              ,90020003
43105734,RUA MALI                                          ,405,CRISTO REDENTOR     ,91370230
43105742,RUA SARG EXP. GERALDO SANTANA                     ,0,PARTENON            ,91530640
43105750,RUA SALVADOR PINHEIRO                             ,65,VILA JARDIM         ,91320240
43105769,AV BENTO GONCALVES                                ,8426,AGRONOMIA           ,91540000
43105777,AV TRONCO                                         ,150,SANTA TEREZA        ,90880310
43105785,RUA RODRIGUES DA FONSECA                          ,1666,VILA NOVA           ,91740800
43105793,RUA JARDIM DAS BROMÉLIAS                          ,52,JARDIM CAMAQUA      ,91920400
43105807,AV PROTASIO ALVES                                 ,13097,PASSO DORNELLES     ,91260000
43105815,RUA CAPITAO COELHO                                ,95,ARQUIPELAGO         ,90090040
43105823,TRAV GETULIO VARGAS                               ,2,ARQUIPELAGO         ,90090260
43105831,RUA OCTACILIO JOSE DIAS                           ,0,JARDIM INGA         ,91230380
43105840,RUA JOAQUIM SILVEIRA                              ,738,SAO SEBASTIAO       ,91060320
43105858,AVENIDA CAUDURO                                   ,238,BOM FIM             ,90035110
43105866,RUA BOM JESUS                                     ,505,BOM JESUS           ,91420030
43105874,RUA SÃO MANOEL                                    ,1981,SANTANA             ,90620110
43105882,EST GEDEON LEITE                                  ,780,HIPICA              ,91787770
43105890,S/INF PANDIA CALOGERAS                            ,429,SARANDI             ,91120560
43105904,RUA 9 DE JUNHO                                    ,542,PARTENON            ,91520610
43105912,RUA GARIBALDI                                     ,853,INDEPENDENCIA       ,90035051
43105920,EST DOS  ALPES                                    ,0,GLORIA              ,91720120
43105939,RUA ANGELITO ASMUZ AIQUEL                         ,125,BOA VISTA           ,91340410
43105947,RUA HUMBERTO DE CAMPOS                            ,130,PARTENON            ,90660280
43105963,AV. DO LAMI                                       ,4742,BELEM NOVO          ,91780120
43105971,AV SAO PAULO                                      ,1020,SAO GERALDO         ,90230160
43105980,RUA DONA MARGARIDA                                ,1199,SAO JOAO            ,90240611
43105998,RUA TUNISIA                                       ,60,JARDIM ITATI        ,91370290
43106005,RUA PROF.CLEMENTE PINTO                           ,555,ALTO TERESOPOLIS    ,90870220
43106013,RUA ALMIRANTE BARROSO                             ,79,FLORESTA            ,90220021
43106021,RUA MUCIO TEIXEIRA                                ,252,MENINO DEUS         ,90050360
43106030,TRAVESSA DR HEINZELMANN                           ,250,NAVEGANTES          ,90240100
43106048,RUA IRMA MARIA JOSE TREVISAN                      ,200,NAVEGANTES          ,90250430
43106056,S/INF ARNALDO BOHRER                              ,98,TERESOPOLIS         ,91720130
43106064,RUA SALVADOR FRANCA JUNTO 3 RCGD                  ,0,PARTENON            ,90690000
43106072,RUA PRUDENTE DE MORAIS                            ,27,CHACARA DAS PEDRAS  ,91330170
43106080,RUA DOS ARACHANES                                 ,242,ESPIRITO SANTO      ,91770130
43106099,RUA ALEXANDRE HERCULANO                           ,11,BOM JESUS           ,91420360
43106102,RUA CLEVELAND JUNTO A 1 DL                        ,250,MORRO SANTA TEREZA  ,90850240
43106110,ESTR EDGAR PIRES DE CASTRO                        ,0,BELEM NOVO          ,91787000
43106129,RUA RUA D                                         ,220,SERRARIA            ,91770810
43106137,RUA PEDRO BOTICARIO                               ,654,GLORIA              ,90660070
43106145,RUA DONA HELENA                                   ,100,SANTA TEREZA        ,90840180
43106153,AV BENTO GONCALVES                                ,7500,AGRONOMIA           ,91540000
43106161,RUA AFONSO CELSO PUPE DA SILVEIRA                 ,25,JARDIM IPIRANGA     ,91360020
43106170,AV ITAJAI                                         ,241,PETROPOLIS          ,90470140
43106188,ESTRADA COSTA GAMA                                ,801,BELEM VELHO         ,91787290
43106196,ESTR JOAO DE OLIVEIRA REMIAO                      ,2689,LOMBA DO PINHEIRO   ,91550000
43106200,RUANF MONTEIRO LOBATO                             ,475,PARTENON            ,90620270
43106218,RUA BATOVI                                        ,25,VILA LEAO SARANDI   ,91130520
43106226,RUA BISPO SARDINHA                                ,159,IPIRANGA            ,91370130
43106234,RUA MARIO DE ARTAGAO                              ,455,PARTENON            ,90680090
43106242,ESTR RETIRO DA PONTA GROSSA                       ,3541,PONTA GROSSA        ,91785340
43106250,RUA D. FIRMINA                                    ,1377,PARTENON            ,91520210
43106277,RUA VIDAL DE NEGREIROS                            ,432,PARTENON            ,91520480
43106285,RUA PARQUE DOS NATIVOS                            ,545,VILA IPIRANGA       ,91370360
43106293,PRACA NOSSA SENHORA DE BELEM                      ,0,BELEM VELHO         ,91712240
43106307,RUA SEBASTIAO WOLF                                ,231,NONOAI              ,91720540
43106315,RUA GEN CALDWELL                                  ,1175,AZENHA              ,90130051
43106323,RUA ANTONIO SEVERINO NETO                         ,109,RUBEM BERTA         ,91250330
43106331,RUA ASCENCAO                                      ,245,GLORIA              ,91710180
43106340,RUA WASHINGTON LUIZ                               ,980,CENTRO              ,90010460
43106358,BARAO DO CERRO LARGO                              ,385,MENINO DEUS         ,90850110
43106366,RUA VICINAL UM - VILA SAO FRANCISCO               ,145,LOMBA DO PINHEIRO   ,91550550
43106374,PRACA INACIO ANTONIO DA SILVA                     ,0,BELEM NOVO          ,91780330
43106382,RUA 1 SN CEFER II PARTENON                        ,0,JARDIM CARVALHO     ,91430370
43106390,RUA DR EDUARDO CHARTIER                           ,1192,HIGIENOPOLIS        ,90520100
43106404,RUA FELIPE DE OLIVEIRA                            ,59,SANTA CECILIA       ,90630000
43106412,RUA UPAMOROTI                                     ,1200,CRISTAL             ,90820140
43106420,RUA FREDERICO GUILHERME GAELZER                   ,168,JARDIM DO SALSO     ,91410140
43106439,ESTR DO VAREJAO                                   ,372,LAMI                ,91787170
43106447,RUA CARLOS PESSOA DE BRUM                         ,150,SANTO ANTONIO       ,90640140
43106455,RUA HUM CEFER 1                                   ,0,PARTENON            ,91430320
43106463,AV AMERICA                                        ,145,AUXILIADORA         ,90440020
43106480,RUA FRANCISCO MARTINS                             ,0,CASCATA             ,91712150
43106498,PRACA  PAULO DE ARAGAO BOZANO                     ,0,VILA IPIRANGA       ,91360160
43106501,RUA CANDIOTA                                      ,145,PASSO DAREIA        ,91030020
43106528,RUA PROFESSOR EMILIO KEMP                         ,65,JARDIM ITU SABARA   ,91380380
43106536,ESTR DA EXTREMA                                   ,2943,LAMI                ,91787540
43106544,EST EDGAR PIRES DE CASTRO                         ,3050,RESTINGA            ,91787000
43106552,RUA SENHOR DO BOM FIM                             ,0,SARANDI             ,91140380
43106560,RUA LUIZ MANOEL                                   ,2,AZENHA              ,90040390
43106587,AV PROF PAULA SOARES                              ,1095,JARDIM ITU SABARA   ,91220450
43106595,RUA ENRICO CARUSO                                 ,444,JARDIM ITU SABARA   ,91215300
43106609,RUA COMENDADOR EDUARDO SECCO                      ,0,VILA IPE I          ,91440160
43106617,RUA JUAREZ TAVORA                                 ,550,PARTENON            ,91520100
43106625,RUA SAO MIGUEL                                    ,487,APARICIO BORGES     ,91710330
43106633,AV BRINO                                          ,350,PASSO DAREIA        ,91030280
43106641,AV ELIAS CIRNE LIMA                               ,100,INTERCAP            ,91530310
43106650,RUA VIUVINHA                                      ,277,JARDIM CARVALHO     ,91430402
43106668,RUA JOAO ALFREDO                                  ,443,CIDADE BAIXA        ,90050230
43106676,RUA RIVEIRA                                       ,400,PETROPOLIS          ,90670160
43106684,RUA JACINTO OSORIO                                ,60,SANTANA             ,90040290
43106692,RUA      HONDURAS                                 ,115,BELEM VELHO         ,91787260
43106706,RUA XAVIER DA CUNHA                               ,680,NONOAI              ,90830430
43106714,RUA TENENTE ARI TARRAGO                           ,0,PARTENON            ,91500000
43106722,JACKSON DE FIGUEIREDO                             ,675,SARANDI             ,91120380
43106730,AV SATURNINO DE BRITO                             ,1425,VILA JARDIM         ,91320001
43106749,ESTR COSTA GAMA                                   ,3501,BELEM VELHO         ,91787290
43106757,AV PRESIDENTE VARGAS                              ,129,0,90090180
43106765,AV ELY CORREA PRADO                               ,915,MARIO QUINTANA      ,91260300
43106773,ESTR JUCA BATISTA                                 ,3450,IPANEMA             ,91755000
43106781,RUA GOMES CARNEIRO                                ,45,MEDIANEIRA          ,90870310
43106790,RUA MOEMA                                         ,255,CHACARA DAS PEDRAS  ,91330500
43106803,JOSE GOMES                                        ,400,TRISTEZA            ,91910280
43106811,RUA LEMURIA                                       ,10,IPANEMA             ,91760530
43106820,ESTR JOAO ANTONIO SILVEIRA                        ,5070,RESTINGA            ,91790400
43106838,RUA FURRIEL LUIZ ANTONIO DE VARGAS                ,135,MONTSERRAT          ,90470130
43106846,AV DO LAMI                                        ,1150,BELEM NOVO          ,91780120
43106854,RUA PEDRO DOS SANTOS SÁ                           ,50,SARANDI             ,91120150
43106862,RUA OLINDA                                        ,99,FLORESTA            ,90240570
43106870,AV DOS PESCADORES                                 ,690,ARQUIPELAGO         ,90090170
43106889,RUA CIDADE DE NATAL                               ,125,TRISTEZA            ,91900040
43106897,RUA SILVIO SILVEIRA SOARES                        ,2711,CAMAQUA             ,91910460
43106900,AV INDEPENDENCIA                                  ,1065,INDEPENDENCIA       ,90035077
43106919,RUA NOSSA SENHORA DE FATIMA                       ,195,RUBEM BERTA         ,91180003
43106927,ESTR JOAO DE OLIVEIRA REMIAO                      ,6505,LOMBA DO PINHEIRO   ,91560000
43106935,RUA ADAO PINHEIRO DA SILVA                        ,490,ABERTA DOS MORROS   ,91751030
43106943,AV TAQUARI                                        ,395,CRISTAL             ,90810180
43106951,ESTR EDGAR PIRES DE CASTRO                        ,5580,BELEM NOVO          ,91787000
43106960,RUA THOME ANTONIO DE SOUZA                        ,0,CAMPO NOVO          ,91750170
43106978,RUA VALENTIM VICENTINI                            ,255,IAPI                ,90520220
43106986,ESTR CHAPEU DO SOL                                ,1680,BELEM NOVO          ,91787030
43106994,AV JOSE CORREA DA SILVA                           ,380,JARDIM DAS PALMEIRAS,91740380
43107001,RUA GREGORIO DA FONSECA                           ,91,NONOAI              ,90830260
43107010,ESTR MARTINHO POETA                               ,2125,ARQUIPELAGO         ,90090120
43107028,RUA AMERICO VESPUCIO                              ,615,HIGIENOPOLIS        ,90550031
43107036,"RUA, JOAO DALLEGRAVE                              ",130,MORRO SANTANA       ,91260170
43107044,TRAV IRMAO PEDRO                                  ,0,TERESOPOLIS         ,91720360
43107052,ESTRADA OTAVIANO JOSE PINTO                       ,50,LAMI                ,91787660
43107060,RUA BANCO INGLES                                  ,300,MORRO SANTA TEREZA  ,90840600
43107079,RUA HELIO PIMPAO                                  ,52,MORRO SANTANA       ,91450330
43107087,RUA MONTE ALEGRE                                  ,119,JARDIM FLORESTA     ,91040120
43107095,RUA GUARACAPÁ                                     ,33,SANTA MARIA GORETTI ,91030150
43107109,AV POLAR                                          ,0,JARDIM FLORESTA     ,91040550
43107117,AV. NAÇOES                                        ,0,PETROPOLIS          ,90690400
43107125,RUA EUGENIO DU PASQUIER                           ,280,CRISTO REDENTOR     ,91040350
43107133,EST VILA MARIA                                    ,415,CAVALHADA           ,91920370
43107141,RUA JACUNDA                                       ,365,GUARUJA             ,91770430
43107150,RUA CORONEL CLAUDINO                              ,254,CRISTAL             ,91910670
43107168,RUA LIMA E SILVA                                  ,400,CIDADE BAIXA        ,90050100
43107176,RUA CABRAL                                        ,621,RIO BRANCO          ,90420121
43107184,AV CAVALHADA                                      ,2433,CAVALHADA           ,91740001
43107192,RUA VISCONDE DO HERVAL                            ,970,MENINO DEUS         ,90130150
43107206,RUA SILVEIRO                                      ,1640,MORRO STA TEREZA    ,90850000
43107214,AV BERNARDINO OLIVEIRA PAIM                       ,665,RUBEM BERTA         ,91160300
43107222,EST SAO CAETANO                                   ,1600,BELEM NOVO_LAMI     ,91785220
43107230,ESTR QUIRINAS LOMBA DO PINHEIRO                   ,0,LOMBA DO PINHEIRO   ,91500000
43107257,RUA A -  CHÁCARA DOS BOMBEIROS                    ,3,PARTENON            ,91520160
43107265,PARQ MOINHOS DE VENTO                             ,200,MOINHOS DE VENTO    ,90440010
43107273,AV NITEROI ESQUINA TRAV VIAMAO                    ,0,MEDIANEIRA          ,90880270
43107281,DONA LUIZA ROCCO                                  ,0,GLORIA              ,90870050
43107290,RUA THOMAZ FRANCISCO DE JESUS                     ,0,JARDIM CARVALHO     ,91430040
43107303,RUA MARCOS  KRUCHIN                               ,291,NAVEGANTES          ,90245250
43107311,RUA FRANCISCO RODOLFO SMICH                       ,617,JARDIM BARAO DO CAHY,91130210
43107320,AV BELIZE                                         ,261,RESTINGA VELHA      ,91790080
43107338,RUA DELFINO RIET                                  ,525,SANTO ANTONIO       ,90660120
43107346,RUA ARTUR ROCHA                                   ,200,MONTSERRAT          ,90450170
43107354,PRACA ARATIBA                                     ,0,CAVALHADA           ,91740170
43107362,RUA DOM BOSCO                                     ,103,GLORIA              ,90680580
43107370,RUA DR EDUARDO CHARTIER                           ,360,HIGIENOPOLIS        ,90520100
43107389,RUA FELIPE DE OLIVEIRA                            ,448,PETRÓPOLIS          ,90630000
43107397,AV BENNO MENTZ                                    ,1560,IPIRANGA            ,91370020
43107400,RUA CONEGO MARCELINO                              ,107,CIDADE BAIXA        ,90050280
43107419,RUA DR MARIO TOTTA                                ,1252,TRISTEZA            ,91920130
43107427,PRACA MENINO DEUS                                 ,77,MENINO DEUS         ,90850180
43107435,RUA MARCILIO DIAS                                 ,1201,AZENHA              ,90130001
43107443,RUA DA REPUBLICA                                  ,801,CIDADE BAIXA        ,90050321
43107451,AV PARA                                           ,833,SAO GERALDO         ,90240591
43107460,AV TERESOPOLIS                                    ,2805,TERESOPOLIS         ,90870001
43107478,RUA DOMINGOS DE ABREU                             ,967,SARANDI             ,91120090
43107486,AV PRINCESA ISABEL                                ,1160,SANTANA             ,90620000
43107494,RUA AMERICO VESPUCIO                              ,483,HIGIENOPOLIS        ,90550031
43107524,RUA DR LAURO DE OLIVEIRA                          ,71,RIO BRANCO          ,90420210
43107559,AV CAVALHADA                                      ,3999,CAVALHADA           ,91740001
43107567,AV ALCIDES SÃO SEVERIANO                          ,100,SARANDI             ,91130500
43107575,RUA SEPE TIARAJU                                  ,1013,ALTO-TERESOPOLIS    ,90840360
43107583,AV OSVALDO ARANHA                                 ,527,FARROUPILHA         ,90035190
43107591,AV FORTE                                          ,77,CRISTO REDENTOR     ,91360000
43107605,AV ALCIDES SEVERIANO                              ,99,SARANDI             ,91130500
43107613,RUA TUPI                                          ,212,PASSO DAREIA        ,91030520
43107621,RUA CABRAL                                        ,571,RIO BRANCO          ,90420121
43107648,RUA INTENDENTE AZEVEDO                            ,464,GLORIA              ,91700110
43107656,RUA CLEMENCIANO BARNASQUE                         ,200,TERESOPOLIS         ,91720260
43107753,RUA DELMAR ROCHA BARBOSA                          ,483,RUBEM BERTA         ,91330000
43107761,PRAÇA GARIBALDI                                   ,40,CIDADE BAIXA        ,90050020
43107800,AV  VALADO                                        ,363,PARTENON            ,91510740
43107818,RUA CARIRI                                        ,407,ASSUNÇÃO            ,91900560
43107826,RUA PADRE LEOPOLDO BRENTANO                       ,1451,VILA FARRAPOS       ,90250590
43107850,AV PADRE CACIQUE                                  ,1372,SANTA TEREZA        ,90810240
43107877,AV BALTAZAR OLIVEIRA GARCIA                       ,4879,RUBEM BERTA         ,91180001
43107885,PRACA COMENDADOR SOUZA GOMES                      ,0,TRISTEZA            ,91900190
43107923,RUA CEL APARICIO BORGES                           ,2160,PARTENON            ,90680570
43107931,AV BAHIA                                          ,948,SAO GERALDO         ,90240552
43107940,RUA SOUZA REIS                                    ,132,SAO JOAO            ,90240650
43107966,RUA EROTILDE MACHADO SANTANA                      ,0,AGRONOMIA           ,91540050
43107974,RUA VITOR SILVA                                   ,186,CAMAQUA             ,91910170
43107982,RUA ENG OSCAR DE OLIVEIRA RAMOS                   ,660, RESTINGA NOVA      ,91790050
43107990,AV BOGOTA                                         ,789,JARDIM LINDOIA      ,91060000
43108008,"AV, JOAO PESSOA                                   ",2125,AZENHA              ,90040001
43108016,RUA COMENDADOR CORUJA                             ,315,FLORESTA            ,90220180
43108024,RUA EUDORO BERLINCK                               ,632,AUXILIADORA         ,90450030
43108032,RUA BADEN POWELL                                  ,409,SARANDI             ,91110040
43108040,AV PROTASIO ALVES                                 ,999,SANTA CECILIA       ,90410000
43108059,RUA CAETE                                         ,328,ASSUNÇÃO            ,91900180
43108067,AV SILVADO                                        ,555,PARTENON            ,91510100
43108083,AV OSVALDO GONCALVES CRUZ                         ,444,IPANEMA             ,91760060
43108091,RUA EUSTAQUIO INACIO DA SILVEIRA                  ,300,BELEM NOVO          ,91780100
43108105,AV CEL APARICIO BORGES                            ,2001,PARTENON            ,90680570
43108113,AV MONTENEGRO                                     ,269,PETROPOLIS          ,90460160
43108130,RUA WASHINGTON LUIZ                               ,1050,CENTRO              ,90010460
43108148,R JOSE DE ALENCAR                                 ,745,MENINO DEUS         ,90880481
43108156,RUA SANTA CATARINA                                ,105,MARIA GORETT        ,91030330
43108164,PRACA DOM SEBASTIAO                               ,2,MOINHOS DE VENTO    ,90035080
43108172,RUA DA REPUBLICA                                  ,635,CIDADE BAIXA        ,90050321
43108180,AV SATURNINO DE BRITO                             ,1400,VILA JARDIM         ,91320001
43108202,RUA WALDOMIRO SCHAPKE                             ,11,PARTENON            ,91530390
43108210,JUNTO A VILA DIVINEIA                             ,0,BOM JESUS           ,91500000
43108229,RUA FABIO ARAUJO SANTOS                           ,0,NONOAI              ,91720390
43108237,RUA RUA GAL AUTO                                  ,68,CENTRO              ,90010380
43108245,RUA DONA TEODORA                                  ,1156,HUMAITA             ,90240300
43108253,RUA MIGUEL TOSTES                                 ,201,INDEPENDENCIA       ,90420061
43108296,TRAV ANGUSTURA                                    ,66,MOINHOS DE VENTO    ,90440030
43108300,RUA ARI TARRAGO                                   ,1745,JARDIM ITU SABARA   ,91225001
43108318,RUA SARGENTO SILVIO D HOLLEMBACH                  ,69,JARDIM LEOPOLDINA   ,91240120
43108326,AV SILVESTRE FELIX RODRIGUES                      ,0,RUBEM BERTA         ,91150020
43108334,RUA ACESSO TOYAMA                                 ,0,ITU COINMA          ,91215290
43108342,RUA VICENTE CELESTINO                             ,120,RUBEM BERTA         ,91180130
43108350,RUA PETRONIO PORTELA  P SANTA FE                  ,1100,RUBEM BERTA         ,91180520
43108377,RUA TARCILA MORAES DUTRA                          ,799,PARQUE DOS MAYAS    ,91170170
43108385,RUA 6 BECO DOS NUNES                              ,0,VILA PETROPOLIS     ,91310020
43108393,RUA JAIME VIGNOLI                                 ,320,ANCHIETA            ,90200110
43108415,RUA QUINTINO BOCAIUVA                             ,540,MOINHOS DE VENTO    ,90440050
43108423,RUA MARECHAL ANDREA                               ,345,BOA VISTA           ,91340400
43108466,RUA URUGUAIANA                                    ,185,MENINO DEUS         ,90110330
43108474,RUA MARUJAIBA                                     ,8,RUBEM BERTA         ,91170340
43108482,RUA AFONSO RODRIGUES                              ,100,JARDIM BOTANICO     ,90690170
43108490,PROFESSOR JORGE FURTADO                           ,47,RUBEM BERTA         ,91160680
43108539,RUA CATAMARCA                                     ,93,JARDIM LINDOIA      ,91050170
43108547,RUA LIDIA MOSCHETTI                               ,200,JARDIM LEOPOLDINA   ,91240100
43108580,RUA FELIPE NERI                                   ,78,AUXILIADORA         ,90440150
43108610,AV IJUI                                           ,641,PETROPOLIS          ,90460200
43108628,RUA MARCIO LUIS VERAS VIDOR                       ,10,PRAIA DE BELAS      ,90110160
43108687,RUA DONA LAURA                                    ,319,RIO BRANCO          ,90430091
43108709,RUA INHANDUI                                      ,432,CRISTAL             ,90820170
43108717,AV CAVALHADA                                      ,4357,CAVALHADA           ,91470001
43108725,RUA BECO DO DAVID                                 ,261,AGRONOMIA           ,91550160
43108733,RUA JOSE HONORATO SANTOS                          ,101,AZENHA              ,90050040
43108741,RUA MARIANO DE MATOS                              ,300,MEDIANEIRA          ,90880250
43108750,RUA GUILHERME ALVES                               ,1900,PARTENON            ,90680000
43108768,RUA BOTAFOGO                                      ,396,MENINO DEUS         ,90150050
43108776,AV BENTO GONCALVES                                ,7500,AGRONOMIA           ,90540000
43108784,RUA CRUZEIRO DO SUL                               ,2702,CRISTAL             ,90840000
43108792,RUA MAGNOLIA                                      ,120,LOMBA DO PINHEIRO   ,91560180
43108806,AV. VEREADOR ROBERTO LANDELL DE MOURA             ,364,ABERTA DOS MORROS   ,91750751
43108822,RUA DONA AUGUSTA                                  ,60,MENINO DEUS         ,90850130
43108830,RUA SAO JOSE DO NORTE                             ,0,BELEM VELHO         ,91712160
43108849,RUA DOLORES DURAN QUADRA B                        ,300,AGRONOMIA           ,91540220
43108873,RUA BATISTA XAVIER                                ,600,PARTENON            ,90680120
43108881,AV SILVADO                                        ,456,PARTENON            ,91510100
43108903,AV NITEROI                                        ,472,MEDIANEIRA          ,90880270
43108911,RUA EUGENIO RODRIGUES                             ,4919,RESTINGA NOVA       ,91790060
43108938,RUA SALDANHA MARINHO                              ,166,MENINO DEUS         ,90160240
43108946,AV PRAIA DE BELAS                                 ,1948,MENINO DEUS         ,90110000
43108954,RUA 1 DE SETEMBRO                                 ,480,PARTENON            ,91520540
43108962,AV BENTO GONCALVES                                ,1731,PARTENON            ,90620002
43108970,RUA PADRE CALDAS                                  ,59,PARTENON            ,90620280
43109047,RUA AFONSO PENA                                   ,115,AZENHA              ,90160020
43109110,AV CAPIVARI                                       ,2020,CRISTAL             ,90810070
43109136,RUA JOAO PAETZEL                                  ,440,TRES FIGUEIRAS      ,91330280
43109152,RUA VIDAL DE NEGREIROS                            ,423,PARTENON            ,91520480
43109160,RUA FRANCISCO FERRER                              ,170,RIO BRANCO          ,90420140
43109179,RUA DR CAIO BRANDAO DE MELLO                      ,300,PARQUE HUMAITA      ,90250110
43109187,RUA TEN ARY TARRAGO                               ,3345,JARDIM PLANALTO     ,91225002
