Inep,Latitude,Longitude
43367380,-30.0996511,-51.1436216
43210457,-30.0680609,-51.2163832
43209041,-30.1594269,-51.1738161
43361404,-30.0297176,-51.1039435
43241204,-30.2388438,-51.087908
43185231,-30.0485517,-51.2075464
43187870,-30.0681939,-51.2067707
43004822,-30.0419296,-51.1208081
43004849,0.0,0.0
43004610,-29.983338,-51.1997823
43004369,-29.9888897,-51.1948354
43004830,-30.0013348,-51.1048818
43004350,-30.0660083,-51.1938636
43004342,-30.1280419,-51.1175524
43006817,-30.1848141,-51.1923226
43379060,-29.9910791,-51.1021738
43203159,0.0,0.0
43206255,0.0,0.0
43367429,-30.1599776,-51.1348927
43004334,-30.1504733,-51.145228
43004318,-30.0838606,-51.2005545
43295290,-30.0676481,-51.143803
43006825,-30.1764993,-51.1746005
43006833,-30.1255537,-51.2021869
43006841,-30.0779524,-51.2309604
43185622,-30.0376285,-51.2104916
43201270,-30.2057506,-51.1254014
43008666,-30.0294738,-51.116994
43009166,-30.0219058,-51.1096746
43008690,-30.0541333,-51.2440711
43009115,-30.1504938,-51.1351031
43009280,-30.0382218,-51.1553158
43047670,-29.9950918,-51.2170455
43362540,-29.9886434,-51.1293424
43048170,-30.0196723,-51.1248138
43089178,-30.1657561,-51.1475797
43142478,-30.1646389,-51.1391156
43089283,-30.1612722,-51.1505841
43051510,-30.1429328,-51.1018623
43089160,-30.1636441,-51.227896
43046088,-30.1528026,-51.1456262
43044999,-30.1525898,-51.1362187
43089194,-30.2381117,-51.0832602
43089216,-30.1472718,-51.149968
43142672,-30.0156205,-51.1691659
0,0.0,0.0
43142362,-30.2245808,-51.0694994
43162274,-30.0596861,-51.1490971
43105416,-30.0654387,-51.1946497
43189768,0.0,0.0
43382118,0.0,0.0
43385087,0.0,0.0
43383050,0.0,0.0
43212123,0.0,0.0
43384099,0.0,0.0
43385079,0.0,0.0
43382088,0.0,0.0
43385095,0.0,0.0
43384102,0.0,0.0
43382100,0.0,0.0
43382096,0.0,0.0
43384080,0.0,0.0
43000070,0.0,0.0
43000118,0.0,0.0
43000169,0.0,0.0
43000088,0.0,0.0
43000096,0.0,0.0
43000100,0.0,0.0
43000126,0.0,0.0
43000177,0.0,0.0
43000185,0.0,0.0
43001190,0.0,0.0
43104924,0.0,0.0
