Tipo,Inep,Nome,AbreviacaoNome,Telefone
EDUCAÇÃO INFANTIL                                                                         ,43173608,EMEI MARIA MARQUES FERNANDES                            ,MARIA MARQUES                 ,33191208
EDUCAÇÃO INFANTIL                                                                         ,43173594,EMEI VILA NOVA                                          ,VILA NOVA                     ,32895853
EDUCAÇÃO INFANTIL                                                                         ,43173586,EMEI DOM LUIZ DE NADAL                                  ,LUIZ DE NADAL                 ,32481410
EDUCAÇÃO INFANTIL                                                                         ,43173578,EMEI FLORÊNCIA VURLOD SOCIAS                            ,FLORENCIA                     ,32501703
EDUCAÇÃO INFANTIL                                                                         ,43173560,EMEI DA VILA NOVA RESTINGA                              ,NOVA RESTINGA                 ,32501600
EDUCAÇÃO INFANTIL                                                                         ,43173551,EMEI DA VILA DA PÁSCOA                                  ,VILA DA PÁSCOA                ,33673434
EDUCAÇÃO INFANTIL                                                                         ,43173543,EMEI DA VILA TRONCO                                     ,VILA TRONCO                   ,32669519
EDUCAÇÃO INFANTIL                                                                         ,43173535,EMEI DR WALTER SILBER                                   ,WALTER SILBER                 ,33361893
EDUCAÇÃO INFANTIL                                                                         ,43173527,EMEI DOS MUNICIPÁRIOS TIO BARNABÉ                       ,TIO BARNABÉ                   ,32274591
EDUCAÇÃO INFANTIL                                                                         ,43173519,EMEI PARQUE DOS MAIAS II                                ,EMEI PARQUE                   ,33673816
EDUCAÇÃO INFANTIL                                                                         ,43173500,EMEI DA VILA NOVA SÃO CARLOS                            ,NOVA SÃO CARLOS               ,33191146
EDUCAÇÃO INFANTIL                                                                         ,43173497,EMEI DA VILA MAPA II                                    ,VILA MAPA II                  ,33191633
EDUCAÇÃO INFANTIL                                                                         ,43175163,EMEI ILHA DA PINTADA                                    ,ILHA DA PINTADA               ,32117542
EDUCAÇÃO INFANTIL                                                                         ,43173489,EMEI JARDIM CAMAQUÃ                                     ,JARDIM CAMAQUÃ                ,32414986
EDUCAÇÃO INFANTIL                                                                         ,43173470,EMEI PADRE ÂNGELO COSTA                                 ,PE ÂNGELO COSTA               ,33183108
EDUCAÇÃO INFANTIL                                                                         ,43173462,EMEI PROTÁSIO ALVES                                     ,PROTÁSIO ALVES                ,33383510
EDUCAÇÃO INFANTIL                                                                         ,43173454,EMEI NOVA GLEBA                                         ,NOVA GLEBA                    ,33674007
EDUCAÇÃO INFANTIL                                                                         ,43175155,EMEI DA VILA SANTA ROSA                                 ,SANTA ROSA                    ,33876499
EDUCAÇÃO INFANTIL                                                                         ,43175147,EMEI HUMAITÁ                                            ,HUMAITÁ                       ,33744223
EDUCAÇÃO INFANTIL                                                                         ,43175139,EMEI PONTA GROSSA                                       ,PONTA GROSSA                  ,32464812
EDUCAÇÃO INFANTIL                                                                         ,43177026,EMEI DA VILA VALNERI ANTUNES                            ,VALNERI                       ,33876077
EDUCAÇÃO INFANTIL                                                                         ,43181112,EMEI OSMAR DOS SANTOS FREITAS                           ,OSMAR FREITAS                 ,32666766
EDUCAÇÃO INFANTIL                                                                         ,43181376,EMEI PAULO FREIRE                                       ,PAULO FREIRE                  ,32502430
EDUCAÇÃO INFANTIL                                                                         ,43185401,EMEI MAMÃE CORUJA                                       ,MAMÃE CORUJA                  ,32310488
EDUCAÇÃO INFANTIL                                                                         ,43048196,EMEI MIGUEL GRANATO VELASQUEZ                           ,MIGUEL VELASQUEZ              ,33440759
EDUCAÇÃO INFANTIL                                                                         ,43141790,EMEI SANTO EXPEDITO                                     ,SANTO EXPEDITO                ,33656802
ENSINO FUNDAMENTAL                                                                        ,43105440,EMEF AFONSO GUERREIRO LIMA                              ,AFONSO                        ,33191011
ENSINO FUNDAMENTAL                                                                        ,43107842,EMEF SEN ALBERTO PASQUALINI                             ,PASQUALINI                    ,32501648
ENSINO FUNDAMENTAL                                                                        ,43105459,EMEF AMÉRICA                                            ,AMÉRICA                       ,33181076
ENSINO FUNDAMENTAL                                                                        ,43105467,EMEF ARAMY SILVA                                        ,ARAMY                         ,32413382
ENSINO FUNDAMENTAL                                                                        ,43105475,EMEF DÉCIO MARTINS COSTA                                ,DÉCIO                         ,33472935
ENSINO FUNDAMENTAL                                                                        ,43105483,EMEF DOLORES ALCARAZ CALDAS                             ,DOLORES                       ,32501609
ENSINO FUNDAMENTAL                                                                        ,43109071,EMEF PROF GILBERTO JORGE GONÇALVES DA SILVA             ,GILBERTO JORGE                ,32464603
ENSINO FUNDAMENTAL                                                                        ,43108571,EMEF GRANDE ORIENTE DO RGS                              ,GRANDE ORIENTE                ,33661602
ENSINO FUNDAMENTAL                                                                        ,43107508,EMEF GOV ILDO MENEGHETTI                                ,ILDO                          ,33673218
ENSINO FUNDAMENTAL                                                                        ,43105491,EMEF JOSÉ LOUREIRO DA SILVA                             ,LOUREIRO                      ,32665175
ENSINO FUNDAMENTAL                                                                        ,43108563,EMEF PRES JOÃO BELCHIOR MARQUES GOULART                 ,JOÃO GOULART                  ,32895939
ENSINO FUNDAMENTAL                                                                        ,43109055,EMEF PROF JUDITH MACEDO DE ARAÚJO                       ,JUDITH                        ,33851308
ENSINO FUNDAMENTAL                                                                        ,43109098,EMEF PROF LARRY JOSÉ RIBEIRO ALVES                      ,LARRY ALVES                   ,32501656
ENSINO FUNDAMENTAL                                                                        ,43109063,EMEF LEOCÁDIA FELIZARDO PRESTES                         ,LEOCÁDIA                      ,32464648
"EDUCAÇÃO INFANTIL, ENSINO FUNDAMENTAL, ENSINO MÉDIO, NORMAL/MAGISTÉRIO, PROFISSIONALIZANTE",43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA                ,LIBERATO                      ,33641065
ENSINO FUNDAMENTAL                                                                        ,43109101,EMEF VER MARTIM ARANHA                                  ,MARTIM ARANHA                 ,32666228
ENSINO FUNDAMENTAL                                                                        ,43105513,EMEF NOSSA SENHORA DE FÁTIMA                            ,FÁTIMA                        ,33383695
ENSINO FUNDAMENTAL                                                                        ,43105521,EMEF PEPITA DE LEÃO                                     ,PEPITA                        ,33441522
ENSINO FUNDAMENTAL                                                                        ,43105530,EMEF PRESIDENTE VARGAS                                  ,PRESIDENTE                    ,33481732
ENSINO FUNDAMENTAL                                                                        ,43105548,EMEF HEITOR VILLA LOBOS                                 ,VILLA                         ,33191413
ENSINO FUNDAMENTAL                                                                        ,43109217,EMEF JOÃO ANTONIO SATTE                                 ,JOÃO SATTE                    ,33675453
ENSINO FUNDAMENTAL                                                                        ,43109195,EMEF PROF ANA IRIS DO AMARAL                            ,ANA IRIS                      ,33862690
ENSINO FUNDAMENTAL                                                                        ,43169490,EMEF JOSE MARIANO BECK                                  ,MARIANO                       ,33383985
ENSINO FUNDAMENTAL                                                                        ,43109080,EMEF VER CARLOS PESSOA DE BRUM                          ,PESSOA DE BRUM                ,32501698
ENSINO FUNDAMENTAL                                                                        ,43179002,EMEEF PROF ELYSEU PAGLIOLI                              ,ELYSEU PAGLIOLI               ,32414985
ENSINO FUNDAMENTAL                                                                        ,43109233,EMEF GABRIEL OBINO                                      ,GABRIEL OBINO                 ,33155928
ENSINO FUNDAMENTAL                                                                        ,43172482,EMEF VER ANTÔNIO GIÚDICE                                ,ANTÔNIO GIÚDICE               ,33741808
ENSINO FUNDAMENTAL                                                                        ,43109209,EMEF LAURO RODRIGUES                                    ,LAURO RODRIGUES               ,33481132
ENSINO FUNDAMENTAL                                                                        ,43109144,EMEF LIDOVINO FANTON                                    ,LIDOVINO                      ,32501702
ENSINO FUNDAMENTAL                                                                        ,43178995,EMEEF PROF LYGIA MORRONE AVERBUCK                       ,LYGIA                         ,33381518
ENSINO FUNDAMENTAL                                                                        ,43109128,EMEF DEP MARCÍRIO GOULART LOUREIRO                      ,MARCÍRIO                      ,33156069
ENSINO FUNDAMENTAL                                                                        ,43109225,EMEF DEP VICTOR ISSLER                                  ,VICTOR ISSLER                 ,33862097
ENSINO FUNDAMENTAL                                                                        ,43179010,EMEEF PROF LUIZ FRANCISCO LUCENA BORGES                 ,LUCENA                        ,33383350
ENSINO FUNDAMENTAL                                                                        ,43172474,EMEF JEAN PIAGET                                        ,JEAN PIAGET                   ,33662480
ENSINO FUNDAMENTAL                                                                        ,43172490,EMEF PROF ANÍSIO TEIXEIRA                               ,ANÍSIO                        ,32641540
ENSINO FUNDAMENTAL                                                                        ,43179029,EMEEF TRISTÃO SUCUPIRA VIANNA                           ,TRISTÃO                       ,32501527
ENSINO FUNDAMENTAL                                                                        ,43167535,EMEF SÃO PEDRO                                          ,SAO PEDRO                     ,33191206
ENSINO FUNDAMENTAL                                                                        ,43167179,EMEF SAINT HILAIRE                                      ,SAINT HILAIRE                 ,33191629
ENSINO FUNDAMENTAL                                                                        ,43173721,EMEF WENCESLAU FONTOURA                                 ,WENCESLAU                     ,32895847
ENSINO FUNDAMENTAL                                                                        ,43173713,EMEF CAMPOS DO CRISTAL                                  ,CAMPOS                        ,32452077
ENSINO FUNDAMENTAL                                                                        ,43177018,EMEF MIGRANTES                                          ,MIGRANTES                     ,33711316
ENSINO FUNDAMENTAL                                                                        ,43175120,EMEF VILA MONTE CRISTO                                  ,MONTE CRISTO                  ,32464659
ENSINO FUNDAMENTAL                                                                        ,43177034,EMEF MORRO DA CRUZ                                      ,MORRO DA CRUZ                 ,33181668
ENSINO FUNDAMENTAL                                                                        ,43177042,EMEF NEUSA GOULART BRIZOLA                              ,NEUSA GOULART BRIZOLA         ,32469999
EJA                                                                                       ,43177050,EMEF PORTO ALEGRE                                       ,EPA                           ,32274429
ENSINO FUNDAMENTAL                                                                        ,43177581,EMEF CHICO MENDES                                       ,CHICO MENDES                  ,33876400
ENSINO FUNDAMENTAL                                                                        ,43183018,EMEF MARIO QUINTANA                                     ,MARIO QUINTANA                ,32505021
ENSINO FUNDAMENTAL                                                                        ,43187560,EMEF CHAPÉU DO SOL                                      ,CHAPÉU DO SOL                 ,32683318
ENSINO FUNDAMENTAL                                                                        ,43189253,EMEF TIMBAÚVA                                           ,TIMBAÚVA                      ,33685355
ENSINO FUNDAMENTAL                                                                        ,43204643,EMEF NOSSA SENHORA DO CARMO                             ,N Sª DO CARMO                 ,32614364
ENSINO FUNDAMENTAL                                                                        ,43241000,EMEF DE SURDOS BILINGUE SALOMÃO WATNICK                 ,SALOMÃO WATNICK               ,33881125
ENSINO FUNDAMENTAL                                                                        ,43293050,EMEF RINCÃO                                             ,RINCÃO                        ,32895831
ENSINO FUNDAMENTAL                                                                        ,43293069,EMEF MORADAS DA HÍPICA                                  ,HÍPICA                        ,33122426
NI                                                                                        ,43048200,EMEF PORTO NOVO                                         ,EMEF PORTO NOVO               ,33810112
"EDUCAÇÃO INFANTIL, ENSINO FUNDAMENTAL, ENSINO MÉDIO, NORMAL/MAGISTÉRIO)                   ",43105246,EMEM EMÍLIO MEYER                                       ,EMÍLIO MEYER                  ,32192608
NI                                                                                        ,43105505,C M DR LIBERATO SALZANO VIEIRA DA CUNHA                 ,COL. LIBERATO                 ,3401065
NI                                                                                        ,43105246,EMEM EMÍLIO MEYER  CURSO NORMAL                         ,EMÍLIO  NORMAL                ,32192608
EJA                                                                                       ,43177000,CMET PAULO FREIRE                                       ,CMET                          ,32250804
NI                                                                                        ,43190499,5001 IEI MÃEZINHA DO CÉU                                ,5001 MÃEZINHA DO CÉU          ,33668700
NI                                                                                        ,43190456,5002 IEI JOÃO PAULO II                                  ,5002 JOÃO PAULO II            ,33742675
NI                                                                                        ,43185304,5003 EEI ESTRELINHA DO CÉU                              ,5003 ESTRELINHA DO CÉU        ,33645165
NI                                                                                        ,43185495,5004 EEI ESTRELINHA DO AMANHÃ                           ,5004 ESTRELINHA DO AMANHÃ     ,33340223
NI                                                                                        ,43189075,5005 IEI VILA UNIÃO                                     ,5005 VILA UNIÃO               ,33644456
NI                                                                                        ,43189059,5006 EEI TRENZINHO DA ALEGRIA                           ,5006 TRENZINHO DA ALEGRIA     ,33655844
NI                                                                                        ,43185398,5007 IEI EUGÊNIA CONTE                                  ,5007 EUGENIA CONTE            ,33673267
NI                                                                                        ,43189024,5008 EEI  JOANA D'ARC                                   ,5008 JOANA DARC               ,33508487
NI                                                                                        ,43188141,5009 IEI SANTA CATARINA                                 ,5009 SANTA CATARINA           ,33658244
NI                                                                                        ,43190588,5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO            ,5010 ACOMPAR - II             ,34145931
NI                                                                                        ,43190367,5011 IEI MARIA DE NAZARÉ                                ,5011 MARIA NAZARE             ,33440344
NI                                                                                        ,43190685,5012 EEI JESUS O BOM PASTOR                             ,5012 JESUS O BOM PASTOR       ,30241793
NI                                                                                        ,43185410,5013 IEI SANTA LUIZA                                    ,5013 SANTA LUIZA              ,33744986
NI                                                                                        ,43190464,5014 IEI PINGO DE GENTE                                 ,5014 PINGO DE GENTE           ,33672764
NI                                                                                        ,43190065,5015 IEI ACOMPAR NUCLEO I                               ,5015 ACOMPAR I                ,33662610
NI                                                                                        ,43187820,5016 IEI OSICOM I                                       ,5016 OSICOM I                 ,33445159
NI                                                                                        ,43185525,5017 EEI NEGRINHO DO PASTOREIO                          ,5017 NEGRINHO DO PASTOREIO    ,33665808
NI                                                                                        ,43188559,5018 IEI ESPERANÇA CORDEIRO                             ,5018 ESPERANÇA CORDEIRO       ,33488086
NI                                                                                        ,43185266,5019 IEI VOVÔ CAZEMIRO                                  ,5019 VOVÔ CAZEMIRO            ,32666200
NI                                                                                        ,43185541,5020 EEI MADRE TERESA                                   ,5020 MADRE TERESA             ,33663177
NI                                                                                        ,43185363,5021 EEI GALPÃOZINHO                                    ,5021 GALPAOZINHO              ,33741768
NI                                                                                        ,43188184,5022 EEI MARISTA TIA JUSSARA                            ,5022 TIA JUSSARA - USBEE      ,32031622
NI                                                                                        ,43190618,5023 EEI VO ANA                                         ,5023 VO ANA                   ,996071073
NI                                                                                        ,43185169,5024 IEI LAR DA CRIANÇA MENINO JESUS DE PRAGA           ,5024 MENINO JESUS DE PRAGA    ,33664599
NI                                                                                        ,43188168,5025 EEI MARISTA NOSSA SENHORA APARECIDA DAS AGUAS      ,5025MARISTA N SENHORA APARECI ,32031676
NI                                                                                        ,43185568,5026 IEI CRIANÇA ESPERANÇA                              ,5026 CRIANÇA ESPERANÇA        ,33484428
NI                                                                                        ,43185320,5027 IEI GIRASSOL                                       ,5027 GIRASSOL                 ,33660296
NI                                                                                        ,43187862,5028 EEI SÃO VICENTE DE PAULO                           ,5028 CASA CRIANÇA SÃO VICENTE ,30721754
NI                                                                                        ,43184960,5029 EEI CANTINHO DOS PIAS                              ,5029 CANTINHO DOS PIÁS        ,33387776
NI                                                                                        ,43185371,5030 EEI TRÊS CORAÇÕES                                  ,5030.TRÊS CORAÇÕES            ,33873108
NI                                                                                        ,43190316,5031 IEI TIA ROSA                                       ,5031 TIA ROSA                 ,33380586
NI                                                                                        ,43190650,5032 IEI JERUSALÉM   BEITH SHALOM                       ,5032 JERUSALÉM-BEITH SHALOM   ,33506739
NI                                                                                        ,43190383,5033 IEI ALAN MARIA TEREZA                              ,5033 TIA MARIA TEREZA         ,33476431
NI                                                                                        ,43187471,5034 IEI ALAN BOM JESUS                                 ,5034 ALAN                     ,33348727
NI                                                                                        ,43185274,5035 EEI NOSSA SENHORA APARECIDA VILA PINTO             ,5035 NOSSA SENHORA APARECIDA  ,30267499
NI                                                                                        ,43189032,5036 EEI MUNDO CRIANÇA                                  ,5036 MUNDO CRIANÇA            ,33670114
NI                                                                                        ,43185355,5037 IEI AELCA                                          ,5037 AELCA                    ,33346222
NI                                                                                        ,43185070,5038 IEI NOSSA SENHORA DE FÁTIMA -BOM JESUS             ,5038 N S FATIMA BOM JESUS     ,33816659
NI                                                                                        ,43185100,5039 IEI RECANTO DOS PIAS                               ,5039 RECANTO DOS PIAS         ,33867153
NI                                                                                        ,43190014,5040 IEI SAGRADA FAMÍLIA                                ,5040 SAGRADA FAMÍLIA          ,992726241
NI                                                                                        ,43185045,5041 EEI MENSAGEIROS DA LUZ                             ,41 LAR DO MENOR MENSAGEIROS DA,33352849
NI                                                                                        ,43185517,5042 IEI PIU PIU                                        ,5042 PIU PIU                  ,30296737
NI                                                                                        ,43189067,5043 IEI LUPICINIO RODRIGUES                            ,5043 LUPICINIO RODRIGUES      ,32110416
NI                                                                                        ,43187609,5044 EEI CASA DO PEQUENINO                              ,5044 CASA DO PEQUENINO        ,32230043
NI                                                                                        ,43190120,5045 EEI SOMAI                                          ,5045 SOMAI LAR DAS MENINAS    ,33343312
NI                                                                                        ,43190707,5046 IEI NSA SRA DE FÁTIMA NOVO MUNDO                   ,5046 N S FATIMA NOVO MUNDO    ,33876460
NI                                                                                        ,0,5047 EEI GOTAS DE ESPERANÇA                             ,5047 GOTAS DE ESPERANÇA       ,                    
NI                                                                                        ,43108865,5048 IEI HELOISA BECKER                                 ,5048 HELOISA BECKER           ,32233714
NI                                                                                        ,43184979,5049 IEI BRINCANDO DE CIRANDA                           ,5049 BRINCANDO DE CIRANDA     ,33814301
NI                                                                                        ,43190391,5050 EEI NSA SRA APARECIDA SÃO PEDRO                    ,5050 NOSSA SENHORA APARECIDA  ,33223047
NI                                                                                        ,43185088,5051 EEI TURMA DO BARULHO                               ,5051 TURMA DO BARULHO         ,30265796
NI                                                                                        ,43190049,5052 EEI SÃO PEDRO                                      ,5052 SÃO PEDRO                ,31784511
NI                                                                                        ,43185312,5053 IEI BALÃO MÁGICO                                   ,5053 BALÃO MÁGICO             ,33360254
NI                                                                                        ,43183069,5054 EEI CASA DA CRIANÇA ALGODÃO DOCE                   ,5054 ALGODÃO DOCE             ,30192458
NI                                                                                        ,43185207,5055 IEI VOVÓ IDA                                       ,5055 VOVO IDA                 ,33223213
NI                                                                                        ,43185606,5056 EEI PAINEIRAS                                      ,5056 PAINEIRAS                ,33393110
NI                                                                                        ,43187854,5057 EEI CAMPO DA TUCA                                  ,5057 CAMPO DA TUCA            ,33220971
NI                                                                                        ,43185649,5058 EEI TOPO GIGIO                                     ,5058 TOPO GIGIO               ,33158057
NI                                                                                        ,43185592,5059 EEI ACOMUR                                         ,5059 ACOMUR                   ,33183231
NI                                                                                        ,43190308,5060 IEI MURIALDO                                       ,5060 MURIALDO                 ,33152960
NI                                                                                        ,43185436,5061 IEI VÓ BELINHA                                     ,5061 VÓ BELINHA               ,33521742
NI                                                                                        ,43185614,5062 IEI ESTRELA MAGICA                                 ,5062 ESTRELA MÁGICA           ,33520881
NI                                                                                        ,43185479,5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL           ,5063 Nª S APARECIDA VILA PINHA,33194651
NI                                                                                        ,43187382,5064 EEI RECREIO DA DIVISA                              ,5064.RECREIO DA DIVISA        ,33177469
NI                                                                                        ,43187781,5065 IEI ARCO IRIS ENCANTADO                            ,5065 ARCO IRIS ENCANTADO      ,30292214
NI                                                                                        ,43187137,5066 EEI MEU NENE                                       ,5066 MEU NENE                 ,33154217
NI                                                                                        ,43187838,5067 IEI NOSSA SENHORA DA GLORIA                        ,5067 NOSSA SENHORA DA GLORIA  ,33397463
NI                                                                                        ,43190189,5068 IEI QUEM ME QUER                                   ,5068 QUEM ME QUER             ,33187440
NI                                                                                        ,43185185,5069 IEI CRECHE LAR DA CRIANCA                          ,5069 LAR DA CRIANÇA           ,32320503
NI                                                                                        ,43185053,5070 IEI CENEAMM 1 DE MAIO                              ,5070 CENEAMM 1 DE MAIO        ,33184152
NI                                                                                        ,43190219,5071 EEI CRIANÇA FELIZ                                  ,5071 CRIANÇA FELIZ            ,33851641
NI                                                                                        ,43185282,5072 IEI AMAVTRON                                       ,5072 AMAVTRON                 ,32333150
NI                                                                                        ,43190405,5073 EEI MATO GROSSO                                    ,5073 MATO GROSSO              ,32662407
NI                                                                                        ,43190537,5074 IEI BOA ESPERANÇA                                  ,5074 BOA ESPERANÇA            ,30628064
NI                                                                                        ,43187811,5075 IEI MARIA DOLABELLA PORTELA                        ,5075 MARIA DOLABELLA PORTELA  ,31098325
NI                                                                                        ,43190570,5076 EEI DOM ORIONE                                     ,5076 DOM ORIONE               ,32665774
NI                                                                                        ,43190553,5077 EEI NOSSA SENHORA DE NAZARÉ-DOM ORIONE             ,5077 NOSSA SENHORA DE NAZARÉ  ,32412955
NI                                                                                        ,43190669,5078 EEI NOSSA SENHORA DE FATIMA - DOM ORIONE           ,5078 N S FATIMA DOM ORIONE    ,32422689
NI                                                                                        ,43190146,5079 EEI NOSSA SENHORA DA ESPERANÇA                     ,5079 NOSSA SENHORA DA ESPERANC,32596078
NI                                                                                        ,43190626,5080 IEI ORFANATROFIO II                                ,5080 ORFANATROFIO II          ,32596374
NI                                                                                        ,43190502,5081 EEI BRIZOLINHA                                     ,5081 BRIZOLINHA               ,33223095
NI                                                                                        ,43185096,5082 IEI MEDIANEIRA                                     ,5082 MEDIANEIRA               ,32233558
NI                                                                                        ,43188206,5083 EEI CASA DE NAZARE CENTRO DE APOIO AO MENOR        ,5083 CASA DE NAZARE           ,32429196
NI                                                                                        ,43190081,5084 EEI CANTINHO DA CRIANÇA                            ,5084 CANTINHO DA CRIANCA      ,33395480
NI                                                                                        ,43190634,5085 EEI BATILANOS                                      ,5085 BATILANOS                ,33184427
NI                                                                                        ,43185118,5086 EEI ARAPEÍ                                         ,5086 ARAPEÍ                   ,32410360
NI                                                                                        ,43188540,5087 IEI NUCLEO SAO FRANCISCO                           ,5087 NUCLEO SAO FRANCISCO     ,32434801
NI                                                                                        ,43188036,5088 IEI VINDE A MIM AS CRIANCINHAS                     ,5088 VINDE A MIM AS CRIANCINHA,32452506
NI                                                                                        ,43185444,5089 EEI VÓ MARIA                                       ,5089 VÓ MARIA                 ,32660181
NI                                                                                        ,43185215,5090 EEI JARDIM CASCATA                                 ,5090 JARDIM CASCATA           ,33172081
NI                                                                                        ,43187803,5091 IEI MADRE BRIGIDA POSTORINO                        ,5091 MADRE BRIGIDA POSTORINO  ,32666067
NI                                                                                        ,43188079,5092 EEI NOSSA SENHORA DA SAUDE                         ,5092 N  SRA SAUDE             ,32597298
NI                                                                                        ,43185452,5093 EEI RECANTO DA CRIANÇA FELIZ                       ,5093 RECANTO DA CRIANCA FELIZ ,32633706
NI                                                                                        ,43187765,5094 IEI AMOCASMA                                       ,5094 AMOCASMA                 ,33113407
NI                                                                                        ,43184987,5095 EEI CENTRO SOCIAL DA CRIANÇA                       ,5095 COMCAV                   ,32471937
NI                                                                                        ,43187943,5096 EEI MARIETA CALEFFI                                ,5096 MARIETA CALEFFI          ,32660666
NI                                                                                        ,43185258,5097 EEI PASSO A PASSO                                  ,5097 PASSO A PASSO            ,984435706
NI                                                                                        ,43185347,5098 EEI MENINO JESUS                                   ,5098 MENINO JESUS             ,32468372
NI                                                                                        ,43201377,5099 EEI AMIGO SPINELLI                                 ,5099 AMIGO SPINELLI-ALDEIA DA ,32669440
NI                                                                                        ,43185240,5100 IEI ISABEL VIEIRA                                  ,5100 TIA ISABEL               ,31105904
NI                                                                                        ,43185223,5101 EEI BEM-ME-QUER                                    ,5101 BEM ME QUER              ,30227195
NI                                                                                        ,43189083,5102 IEI RENASCER VILA AMERICA                          ,5102 RENASCER                 ,32417161
NI                                                                                        ,43185142,5103 EEI INSTITUTO SAO BENEDITO                         ,5103 INSTITUTO SAO BENEDITO   ,32452619
NI                                                                                        ,43185134,5104 EEI MENINO JESUS DIVINA PROVIDENCIA                ,5104 MENINO JESUS DIVINA PROVI,32501941
NI                                                                                        ,43188460,5105 EEI ANANDA MARGA RESTINGA VELHA                    ,5105 ANANDA MARGA RESTINGA VEL,32508180
NI                                                                                        ,43190529,5106 EEI NOVA SANTA RITA                                ,5106 NOVA SANTA RITA          ,32581138
NI                                                                                        ,43185584,5107 EEI ARCO IRIS I                                    ,5107 ARCO IRIS I              ,32610170
NI                                                                                        ,43185533,5108 EEI PADRE PEDRO LEONARDI I                         ,5108 PADRE PEDRO LEONARDI I   ,32505008
NI                                                                                        ,43188125,5109 EEI ANANDA MARGA RESTINGA NOVA 1                   ,5109 ANANDA MARGA REST NOVA 1 ,30946660
NI                                                                                        ,43188745,5110 EEI ANANDA MARGA BELEM NOVO                        ,5110 ANANDA MARGA BELEM NOVO  ,33122300
NI                                                                                        ,43188150,5111 EEI ANANDA MARGA BARRO VERMELHO                    ,5111 ANANDA MARGA BARRO VERMEL,32611753
NI                                                                                        ,43190430,5112 EEI SANTA CATARINA DA RESTINGA                     ,5112 SANTA CATARINA DA RES    ,32662517
NI                                                                                        ,43190677,5113 EEI  ANJINHO DA GUARDA                             ,5113 ANJINHO DA GUARDA        ,33645552
NI                                                                                        ,43188311,5114 EEI CAPELA NAVEGANTES                              ,5114 CAPELA NAVEGANTES        ,32651955
NI                                                                                        ,43190723,5115 IEI SANTA ANITA                                    ,5115 SANTA ANITA              ,32427853
NI                                                                                        ,43190561,5116 IEI COLORINDO MEU DIA                              ,5116 COLORINDO MEU DIA        ,33440043
NI                                                                                        ,43190545,5117 EEI NOSSA SENHORA APARECIDA LOT MARIANTE           ,5117 EEI NSA LOT MARIANTE     ,33319744
NI                                                                                        ,43190375,5118 IEI NOSSA SENHORA DE BELEM                         ,5118 NOSSA SENHORA BELEM      ,993843005
NI                                                                                        ,43191878,5119 EEI CRIANÇA CIDADÃ                                 ,5119 CRIANÇA CIDADA           ,33665476
NI                                                                                        ,43200915,5120 EEI MEDIANEIRA NOSSO SONHO I                       ,5120 MEDIANEIRA               ,32374877
NI                                                                                        ,43188214,5121 IEI NSA SRA APARECIDA IPANEMA                      ,5121 N SEN APARECIDA IPANEMA  ,33776391
